Country,Population,Pollution,PollutionAccess,DeathsPollution,DeathsShare,PM25,OZONE,SmokeDaily,SmokeShare,Drinking,UnsafeWater,Calories,Fat,Sanitation,Overweight,Fertility,HealthExpenditure,HealthShare,Corruption,CorruptionPerception,Trust,TrustShare,TrustMedics,Literacy,HumanRights,PoliticalRegime,GiniIndex,EconomicFreedom,TotalDeaths,TotalCases,PopulationDensity,MedianAge,Aged65,Aged70,GDPpcp,Poverty,Cardiovascular,Diabetes,SmokersFemale,SmokersMale,HospBeds,LifeExpectancy,ReproductionRate,TotalVaccinations,FullVaccinations
AFG,38928341,62.85485658,32.44,183.9413871,11.5,26,61,11.9,NaN,3.7,2.32,2090,30.62,7.196390731,19.7,4.802,166.5167266,2.93283372,4.1,16,0.3159644,45.19529051,73.44479,38.168041,-2.311016703,-1,NaN,NaN,64.529,1458.552,54.422,18.6,2.581,1.337,1803.987,NaN,597.029,9.59,NaN,NaN,0.5,64.83,1.45,0.14,NaN
AGO,32866268,36.24047917,48.05,95.2199092,5.82,NaN,NaN,8.6999998,NaN,35.6,7.94,2473,48.74,54.45297514,23.9,5.766,239.0102329,2.1249122,NaN,19,NaN,NaN,NaN,71.164162,-0.388862744,-2,42.7,5.166512658,16.643,696.307,23.89,16.8,2.405,1.362,5819.495,NaN,276.045,3.94,NaN,NaN,NaN,61.15,1.19,0.4,NaN
AIA,15002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.88,NaN,35.65,NaN
ALB,2877800,14.63400837,77.42,40.48112425,7.53,NaN,NaN,20.5,28.7,53.8,0.02,3193,117.64,0.058739314,58.7,1.714,614.5359461,2.93637328,4.2,36,NaN,46.44411407,67.53741293,97.553902,0.851179641,9,29,7.538571065,793.314,44108.694,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,2.89,78.57,0.79,0.21,0.02
AND,77265,10.87947242,100,15.56947846,4.17,NaN,NaN,26.6,33.5,68.3,0,NaN,NaN,0.011524916,68.1,NaN,4272.523818,6.341446,NaN,NaN,NaN,NaN,NaN,100,4.221864964,NaN,NaN,NaN,1514.269,159554.779,163.755,NaN,NaN,NaN,NaN,NaN,109.135,7.97,29,37.8,NaN,83.73,1.2,9.19,1.64
ARE,9890400,105.1237359,98.51,77.84550799,7.85,23,63,15.8,28.9,13,0.1,3280,89.43,0.098481483,65.9,1.765,2405.367719,2.63615158,NaN,70,0.50710827,NaN,77.08563657,92.986366,0.206362335,-8,NaN,7.485404568,153.28,47939.012,112.442,34,1.144,0.526,67293.483,NaN,317.84,17.26,1.2,37.4,1.2,77.97,1.01,35.19,22.12
ARG,45195777,14.14816717,98.4,31.05788284,5.12,5.4,43,19.299999,21.8,58.8,0.08,3229,117.16,0.137528264,63.4,2.308,1137.243423,2.6526738,4.5,40,-0.20673333,31.92407072,89.40487393,98.089973,0.784109255,9,42.7,4.839536444,1253.082,53722.475,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,5,76.67,1.22,8.21,1.53
ARM,2963234,26.97289332,96.9,64.81278003,9.29,NaN,NaN,26.700001,24.1,64,0.01,2928,96.93,0.167622475,55.7,1.622,362.1252788,1.92567567,4.4,35,NaN,79.74244434,74.02420439,99.768417,0.106262163,5,32.4,7.565793873,1224.001,66776.029,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,4.2,75.09,1.07,NaN,NaN
ATG,97928,15.68594257,98.75,32.35337088,5.57,NaN,NaN,3.4000001,NaN,66.6,0.18,2417,89.11,0.391845117,48.4,2.063,1208.075846,3.78461068,NaN,NaN,NaN,NaN,NaN,98.949997,1.335031449,NaN,NaN,NaN,296.136,11978.188,231.845,32.1,6.933,4.631,21490.943,NaN,191.511,13.17,NaN,NaN,3.8,77.02,0.85,26.98,NaN
AUS,25499881,6.126806421,100,10.79595183,2.86,4,38,16.299999,14.7,84,0.02,3276,153.92,0.013141523,67.2,1.856,4357.260783,6.31659265,3.6,77,0.29897258,46.97923889,95.97211475,99,1.753645266,10,34.7,7.977567819,35.647,1152.123,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,3.84,83.44,0.9,0.62,NaN
AUT,9006400,14.96518831,100,17.58634935,4.29,8,59,29.299999,29.6,77.4,0,3768,166.72,0.031677529,58.1,1.48,5038.881645,8.72502572,NaN,76,0.15462811,59.51411089,93.88728003,98,2.275798607,10,30.5,7.564971368,1056.693,62500.777,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,7.37,81.54,0.98,14.2,5.49
